"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"84",8,"Stetson Bennett IV",LAR,"8","3 out of 5 stars","-20"
"85",9,"Tommy DeVito",NYG,"14","1 out of 5 stars","-30"
"86",9,"Graham Mertz",HOU,"6","3 out of 5 stars","+17"
"87",9,"Easton Stick",ATL,"5","4 out of 5 stars","+30"
"88",9,"John Wolford",JAC,"8","3 out of 5 stars","+27"
"89",9,"Trevor Siemian",TEN,"10","2 out of 5 stars","+23"
"90",9,"Mike White",BUF,"7","4 out of 5 stars","+24"
"91",9,"Josh Johnson",WAS,"12","2 out of 5 stars","-15"
"92",9,"Sam Ehlinger",DEN,"12","4 out of 5 stars","-3"
"93",9,"Devin Leary",BAL,"7","3 out of 5 stars","+2"
"94",9,"Skylar Thompson",PIT,"5","4 out of 5 stars","-11"
"95",9,"Brett Rypien",MIN,"6","2 out of 5 stars","-9"
"96",9,"Kurtis Rourke",SF,"14","4 out of 5 stars","+33"
"97",9,"Sean Clifford",GB,"5","2 out of 5 stars","+23"
